Relative_Path,Size_Bytes,SHA256
.gitignore,360,eea2d02b4a440c1c48740607205e677034441c830d98ca172741e5ef290736ca
attack/figures/attack_alignment_pipeline.pdf,60695,e765b5a175116e93a9f1f7eb1ee0fa16912e1e8454cabcb7defeb23c8fd4ec5d
attack/figures/attack_alignment_pipeline.png,1109959,17db59b544c48ba34b273fe765aad108bd017c456f1dc1a3f8b628443927b27f
attack/figures/attack_candidate_support_comparison.pdf,36477,4afa7c0dd957f53fb4be7172f2e63c484b6c7b1c72fc42ae549c8563c920534b
attack/results/attack_candidate_prevalence.csv,1026,3dbf4513406edc8f604f0c64119de5709baceaaf4a2f7f11003a98f5ab2b9fe3
attack/results/attack_evidence_table.tex,852,ffeda3467b558fb754fe4ed2bf543de529ec16e7e1c585ced3e88872c9d5aef0
attack/results/attack_support_statistical_tests.csv,1750,6af958a6935fef9e38e4a80feeb1758248b2df5b97d6dd4c9fe37124f4d9b35d
attack/results/batch_attack_candidate_support.csv,529107,7e987a057d97fc3ad2d7c0c5bc34db47063a6c040cd1f4f4d09293de8be58cfb
attack/results/batch_attack_case_summary.csv,320332,2ac564a63b19f3bc16b7861adcadfc3113014ecb9b8e988e6bb018ceefe3d3ec
attack/results/final_attack_evidence_table.csv,2207,0accf0fb8ebe584bf2db5b4d193c3d1c48c2fbb7033adbe0296cd386a3df58c1
attack/rules/attack_evidence_rules_v2.json,964,e3cfaa49df71b62077ebe9415e5731da401f8b71d0e9cdd7f58e9b3d6b017f10
attack/rules/attack_feature_evidence_mapping_v2.csv,18769,eba2d156ea6a8064c9cf9f45ce22a2813fc9a02e38c6fdee6b192cf67c2bf118
benchmarks/scripts/attack_evidence_rules_v2.py,23724,0a5cb1c29131051a622935b51448f922f6a8a5b9d4859b3d46deaacac9060d0d
benchmarks/scripts/attack_feature_inventory.py,10466,7e77077a9df48fd46f707cd2f6914d5bab819b6299216d592d7d400d94eb6d19
benchmarks/scripts/attack_support_statistics.py,29075,b64efb577469e60ce73ae49b69bd71443d8cc41b924e8d9c9e3d27276f8d315f
benchmarks/scripts/batch_shap_attack_analysis.py,35345,bd788fb1a1543589598628a8cb96e910dd18b9129a6e6d8d297e33cec18ad283
benchmarks/scripts/build_attack_final_table.py,16607,c188f79dff163c2c4581fbc4cc38beb292ba2dbb8135d3fe38b2b72f839afdc1
benchmarks/scripts/build_attack_pipeline_figure.py,13281,92208ea775cf5ca77b08a9f1521611ea22e45ff75c004888bb966a5ac90c6b46
benchmarks/scripts/counterfactual_stability_analysis.py,33679,c1b7ab967cc99ffffdbc175be7c1aee5161ee93524a147387d5c670e48c56a7e
benchmarks/scripts/multiscale_xai_stability.py,36425,74abd23b03e8bb13ca47ca29affb6f0f778ec5b4a66b4b99e6cf2393ad6d46f1
benchmarks/scripts/run_experiments.py,10272,66a59c1f07595e9f7b8cfc6052f10e59f73d3f9966d1d4f9cdd20aa619d08ef6
benchmarks/scripts/shap_attack_alignment.py,26789,2e850ea456e4b0ca2ee256877a9b3aa5c1c708187e299b09948273935533ea28
